Cluster,avg_std_amt,line_srvc_cnt,creds_CRNA,creds_D.C.,creds_D.O.,creds_DPT,creds_FNP,creds_M.D.,creds_NP,creds_O.D.,creds_Other,creds_PA,creds_PA-C,creds_PT,gender_F,gender_M,gender_Other,entity_I,entity_O,type_Anesthesiology,type_Centralized Flu,type_Certified Registered Nurse Anesthetist (CRNA),type_Chiropractic,type_Emergency Medicine,type_Family Practice,type_General Surgery,type_Hospitalist,type_Internal Medicine,type_Licensed Clinical Social Worker,type_Mass Immunizer Roster Biller,type_Neurology,type_Nurse Practitioner,type_Obstetrics & Gynecology,type_Optometry,type_Other,type_Physical Therapist in Private Practice,type_Physician Assistant,type_Podiatry,type_Psychiatry,"type_Psychologist, Clinical",facility_F,facility_O
0,92.88717748922149,536.8692594956156,0.0,0.0,0.16346403838426812,0.0,0.0,0.7490368479519723,0.0,0.0,0.08749911366375948,0.0,0.0,0.0,0.2861802453378714,0.7138197546621287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9169680209884422,0.08303197901155783
1,51.72588896687477,422.81919650907,3.606332720256771e-05,6.010554533761285e-05,1.202110906752257e-05,0.0,0.0,0.00038467549016072224,0.0,0.0,0.9995071345282316,0.0,0.0,0.0,0.8923750105184705,0.10762498948152957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416880041352615,0.6583119958647384
2,63.290040174468274,789.2843730733036,0.0,0.0,0.05731414479021319,0.0,0.0,0.8329006717071746,0.0,0.0,0.1097851835026122,0.0,0.0,0.0,0.31704903137878443,0.6829509686212155,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4337216471428108e-05,0.0,3.2449621961904146e-05,0.9998377518901905,0.0,0.00010546127137618847,0.0,0.0,0.0,0.5004137326800143,0.49958626731998573
3,44.236319902158044,416.9671959846191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851213713346444,0.0,0.0,0.0,0.0,0.14875693445654406,2.9352197011946344e-05,0.0,0.0,0.0,0.0,0.06005459508644222,0.9399454049135578
4,27.134850808403826,526.7146077195509,0.0,0.9282970166276487,0.0014706765111951498,0.0,0.0,6.002761270184285e-05,0.0,0.0,0.07017227924845429,0.0,0.0,0.0,0.20007203313524222,0.7999279668647578,0.0,1.0,0.0,0.0,0.0,0.0,0.9996998619364907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021009664445644996,0.0,0.0,0.0,6.002761270184285e-05,3.0013806350921424e-05,0.0,0.0,0.0,0.0011105108349840926,0.9988894891650159
5,38.60363710597643,509.75655231195395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010654165778819518,0.9998934583422118
6,39.90936716678533,788.8381714083345,0.0,1.4756227127847951e-05,0.0006345177664974619,0.0,0.0,0.0005459804037303742,0.0,0.0,0.9988047456026443,0.0,0.0,0.0,0.652180970369496,0.3478190296305041,0.0,1.0,0.0,0.0,0.0,0.001239523078739228,0.010580214850666982,0.0,0.0,0.0,0.0,0.0,0.0,0.00026561208830126314,0.0,5.9024908511391805e-05,0.0,0.15194487073545035,0.2646086648565695,0.3092905205996931,0.2620115688820682,0.0,0.0,0.0,0.11557077086530516,0.8844292291346948
7,44.89703865003075,1105.5206559597523,0.0,0.0,9.674922600619196e-05,0.0,0.0,0.0033862229102167183,0.0,0.0,0.9961300309597523,0.0003869969040247678,0.0,0.0,0.274187306501548,0.725812693498452,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13506191950464397,0.864938080495356
8,21.976328410891117,1392.1361242236028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6045548654244306,0.39544513457556935,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002650103519668737,0.9973498964803312,0.0,0.0,0.0,0.0,0.0,1.0
9,88.04452261102799,125.97737355515468,0.82548272866974,3.340682835571591e-05,0.0,0.0,0.0,0.0004008819402685909,0.0,0.0,0.1740829825616356,0.0,0.0,0.0,0.5985167368210063,0.4014832631789938,0.0,1.0,0.0,0.0,0.0,0.9997327453731543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.681365671143182e-05,0.0,0.0,0.00020044097013429546,0.0,0.0,0.0,0.0,0.0,0.9762143382107302,0.023785661789269726
10,80.36586673839459,282.05224549678053,0.0,0.0,0.07677887358382916,0.0,0.0,0.8530442578857282,0.0,0.0,0.07017686853044258,0.0,0.0,0.0,0.22658733393104571,0.7734126660689543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6806585703806342,0.3193414296193659
11,66.47021972803154,496.95924836793506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41451508557313416,0.5854849144268659,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.881315062047874e-05,0.0,0.0,0.0,0.0,0.0,0.9981767923307652,0.0017643945186143623,0.0,0.0,0.0,0.0,0.0,0.02899488325589602,0.971005116744104
12,67.2910262524037,776.519826246645,0.0,0.0,0.07626783443989264,0.0,0.0,0.8153552761689504,0.0,0.0,0.10837688939115694,0.0,0.0,0.0,0.41569430710552335,0.5843056928944766,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909026698686255,0.5090973301313745
13,78.52986352949152,394.70489387589566,0.0,0.0,0.0,0.0,0.0,0.0010139245640124375,0.0,0.0,0.9989184804650534,6.75949709341625e-05,0.0,0.0,0.5726645937542247,0.4273354062457753,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19866161957550357,0.8013383804244965
14,54.20775636414761,393.5548142600359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6879868184541642,0.31201318154583585,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9958058717795088e-05,0.0,0.0,0.0,2.9958058717795088e-05,0.0,0.0,0.0,0.000359496704613541,0.0,0.0,0.000359496704613541,0.0,0.9992210904733373,0.0,0.0,0.0,0.41812462552426605,0.581875374475734
15,47.660098363864165,442.19273552780936,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947873919497075,0.1052126080502925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001571640618178643,0.0,0.0,0.0,0.0,0.0,0.0,0.9974679123373789,0.0,0.0,0.000611193573736139,0.0,0.00034925347070636516,0.0,0.0,0.0,0.2611542827206845,0.7388457172793155
16,62.64533421423398,464.9630163543272,0.0,0.0,0.05806034697022419,0.0,0.0,0.8487846100313168,0.0,0.0,0.09315504299845902,0.0,0.0,0.0,0.37918178654869017,0.6208182134513098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.44380374807376843,0.5561962519262316
17,21.78433119936736,1356.1956906180194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5935405807892777,0.40645941921072226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024199553239017124,0.9975800446760983,0.0,0.0,0.0,0.0,0.0,1.0
18,53.37730288271952,691.102463518194,0.0,0.0,0.19695103395307723,0.0,0.0,0.7363745706957265,0.0,0.0,0.06663092150071732,0.0,4.347385047893692e-05,0.0,0.43302853333719765,0.5669714666628023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671279725245265,0.8328720274754735
19,54.22908918802723,389.7767609539656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6558513588463671,0.34414864115363286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.932889628397117e-05,6.932889628397117e-05,0.0,0.0,0.00013865779256794233,0.0,0.0,0.0,0.0009706045479755962,6.932889628397117e-05,0.00041597337770382697,0.0028424847476428176,0.0,0.9954242928452579,0.0,0.0,0.0,0.4403771491957848,0.5596228508042151
20,84.34526871399606,749.3116669886034,0.0,0.0,0.10054085377631833,0.0,0.0,0.7449294958470156,0.0,0.0,0.15452965037666602,0.0,0.0,0.0,0.39279505505118795,0.607204944948812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9623333977206877,0.037666602279312345
21,52.41471395276641,420.82027577736835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8981186847540892,0.10188131524591079,0.0,1.0,0.0,0.0,0.0,0.00022330151286774968,0.0,5.582537821693742e-05,0.0002791268910846871,0.0,0.0,0.00011165075643387484,0.0,0.0,0.0,0.9962038742812482,0.0,0.0,0.0025679673979791214,0.0,0.00044660302573549935,0.0,0.00011165075643387484,0.0,0.3896053145760063,0.6103946854239938
22,59.93715878426891,269.9873775433308,0.0,0.0,0.0,0.0,0.0,0.00010765421466250404,5.382710733125202e-05,0.0,0.9998385186780062,0.0,0.0,0.0,0.8046614274948864,0.19533857250511358,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12697814619442352,0.8730218538055765
23,49.40301664134213,201.97891231964485,0.0,0.0,0.08879023307436182,0.0,0.0,0.8539304154803841,0.0,0.0,0.05727935144525407,0.0,0.0,0.0,0.5841818269555566,0.41581817304444335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08555711045698017,0.9144428895430199
24,83.77784599255706,178.14392550990246,9.853187506158242e-05,0.0,0.0768548625480343,0.0,0.0,0.8579663020987289,0.0,0.0,0.06508030347817519,0.0,0.0,0.0,0.2718494432949059,0.7281505567050941,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9479259040299537,0.05207409597004631
25,85.79524813532504,590.2487981998568,0.0,0.0,0.0620844839930449,0.0,0.0,0.8180423442773856,0.00010228086325048584,0.0,0.11966861000306843,0.0,0.00010228086325048584,0.0,0.34816405850465376,0.6518359414953462,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625447478776721,0.4374552521223279
